Espécies,Coloração,Cerdas pré-escutelares,Cerdas anteriores escutelares,Cerdas cuneiformis,Presença de tubérculo proeminente na superfície externa do fêmur das pernas anteriores,Pentes sexuais,Indice costal,Mesonoto cor,Mesonoto brilho/fosco,Faixas tergitos fêmeas (espessura e coloração),Coloração escura últimos tergitos (macho),Faixas tergitos interrompidas,Mancha nos últimos  tergitos macho,Mancha nos últimos  tergitos fêmea,Aspecto da asa
D. ananassae,amarela,não,convergente,não,não,sim,"1,6",castanho (mel),brilho,finas (claras),não,não,não,não,hialina
D. kikkawai,amarela,não,convergente,não,não,sim,"1,9",castanho (mel),brilho,finas (escuras),não,não,não,não,hialina
D. malerkotliana,amarela,não,convergente,não,não,sim,"1,6",castanho (mel),brilho,finas (escuras),sim,não,não,não,hialina
D. melanogaster,amarela,não,convergente,não,não,sim,"2,2",castanho (mel),brilho,finas (escuras),sim,não,não,não,hialina
D. simulans,amarela,não,convergente,não,não,sim,"2,2",castanho (mel),brilho,finas (escuras),sim,não,não,não,hialina
D. suzukii,amarela,não,convergente,não,não,sim,3,castanho (mel),brilho,finas (escuras),sim,não,não,não,mancha no macho
D. nasuta,amarela,não,convergente,sim,não,não,"3,1",castanho ,brilho,finas (claras),não,sim,não,não,hialina
D. immigrans,amarela,não,convergente,sim,não,não,4,castanho ,brilho,finas (escuras),não,sim,não,não,veia enfumaçada
D. busckii,amarela,não,convergente,não,não,não,3,castanho ,brilho,grossas (escuras) ,não,sim,não,não,hialina
D. cardini,amarela,não,convergente,não,não,não,"3,8",castanho (escuro),fosco,,,sim,não,não,veia enfumaçada
D. neocardini,amarela,não,convergente,não,não,não,"3,8",castanho,brilho,,,sim,sim (quadrada),não,hialina
D. polymorpha,amarela,não,convergente,não,não,não,"3,5",castanho,brilho,grossas (escuras) ,sim,sim,não,não,hialina
D. bocainensis,amarela,não,divergente,não,não,não,"3,2",castanho (escuro) ,fosco,grossas (escuras),sim,não,não,não,veia enfumaçada
D. capricorni,amarela,não,divergente,não,não,não,"2,6",castanho (escuro) ,brilho,finas (escuras),não,não ,não,não,hialina
D. nebulosa,amarela,não,divergente,não,não,não,"2,5",castanho (mel),brilho,finas (escuras),não,não,não,não,veia enfumaçada
D. paulistorum,amarela,não,divergente,não,não,não,"2,2",castanho (claro),brilho,finas (escuras),não,não,não,não,hialina
D. mediopicta,amarela,não,divergente,não,não,não,4,castanho (claro),brilho,finas (escuras),não,sim,sim,não,hialina
D. mediostriata,amarela,não,divergente,não,não,não,"3,3",castanho (escuro),brilho,grossas (escuras),não,sim,sim,não,hialina
D. nappae,amarela,não,divergente,não,não,não,"4,5",castanho (escuro),brilho,grossas (escuras),não,sim ,não,não,veia enfumaçada
D. paramediostriata,amarela,não,divergente,sim,não,não,4,castanho ,brilho,grossas (escuras),não,sim,sim,não,veia enfumaçada
D. antonietae,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. buzzatii,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. hydei,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. mercatorum,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. paranaensis,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. senei,escura,não,convergente,não,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,hialina
D. butantan,escura,não,divergente,não,não,não,3,marrom (escuro),fosco(polinoso),grossas (escuras),sim,sim,não,não,hialina
D. griseolineata,escura,não,divergente,sim,não,não,"3,8",castanho (claro),fosco(polinoso),finas (escuras),não,sim,não,sim,veia enfumaçada
D. guaraja,escura,não,divergente,não,não,não,3,castanho (escuro),fosco(polinoso),grossas (escuras),não,sim,não,não,veia enfumaçada
D. guaru,escura,não,divergente,não,não,não,"4,5",castanho (claro),fosco(polinoso),finas (escuras),não,sim,não,não,veia enfumaçada
D. maculifrons,escura,não,divergente,não,não,não,"3,5",castanho (escuro),fosco(polinoso),finas  (escuras),não,não ,não,não,veia enfumaçada
D. ornatifrons,escura,não,divergente,não,não,não,"4,6",castanho (com faixas longitudinais),fosco(polinoso),finas (escuras),não,sim,não,não,veia enfumaçada
D. annulimana,escura,sim,convergente,não,não,não,"3,3",fundo claro (pintas individualizadas),fosco,grossas (escuras),não,não,não,não,veia enfumaçada
D. ararama,escura,não,convergente,não,não,não,3,fundo claro (pintas individualizadas),fosco,grossas (escuras),não,não,não,não,veia enfumaçada
D. arapuan,escura,não,divergente,não,não,não,4,fundo claro (pintas individualizadas),fosco,grossas (escuras),não,não,não,não,hialina
D. atalaia,escura,não,convergente,não,não,não,"2,5",castanho (pintas no ponto de inserção das cerdas),fosco,finas (escuras),não,não,não,não,hialina
D. sturtevanti,escura,não,divergente,não,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,hialina
D. lehrmanae,escura,não,divergente,não,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,hialina
D. dacunhai,escura,não,divergente,não,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,hialina
D. milleri,escura,não,divergente,não,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,hialina
D. magalhaesis,escura,não,divergente,não,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,hialina
D. prosaltans,escura,não,divergente,não,não,não,2,faixas individualizadas com uma mancha entre elas,fosco,grossas (escuras),não,não,não,sim,hialina
D. austrosaltans,escura,não,divergente,não,não,não,2,faixas individualizada e sem mancha entre elas,fosco,grossas (escuras),não,não,não,sim,hialina
D. pseudosaltans,escura,não,divergente,não,não,não,2,faixas individualizadas,fosco,grossas (escuras),não,não,não,sim,hialina
D. emarginata,escura,não,divergente,não,não,não,"2,2",castanho (mel),fosco,grossas (escuras),não,não,não,sim,hialina
D. neoelliptica,escura,não,divergente,não,não,não,"2,3",castanho (mel),fosco,grossas (escuras),sim,não,não,sim,hialina
D. neosaltans,escura,não,divergente,não,não,não,2,castanho,fosco,grossas (escuras),não,não,não,sim,hialina
D. virilis,escura,não,divergente,não,não,não,,pintas individualizadas,fosco,grossas (escuras),não ,não,não ,não,hialina
D. pallidipennis,amarela,sim,divergente,não,não,não,6,castanho (mel),fosco,finas (claras),não,sim,não,não,hialina
S. latifasciaeformis,amarela,sim,convergente,não,não,não,"1,5",castanho (mel),brilho,grossas (escuras),sim,não,não,não,hialina
Z. indianus,amarela,sim,convergente,não,não,não,"2,4",faixas brancas contornadas por faixas longitudinas pretas,brilho,finas (claras),não,não,não,não,hialina
Z. tuberculatus,amarela,sim,convergente,não,sim,não,3,faixas brancas contornadas por faixas longitudinas pretas,brilho,finas (claras),não,não ,não,não,hialina
